Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Liechtenstein,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,80.0
Lithuania,2021,76.9,78.9,74.5,68.7,84.6,66.8,97.2,73.1,74.4,80.1,84.0,70.0,70.0
Luxembourg,2021,76.0,85.7,92.5,77.6,63.4,46.2,99.0,66.1,45.9,76.5,84.0,95.0,80.0
Madagascar,2021,57.7,33.7,20.2,25.7,90.6,93.4,92.9,46.5,44.7,73.7,65.4,55.0,50.0
Malawi,2021,53.0,46.1,26.8,42.1,79.0,72.3,25.4,42.1,63.6,70.5,68.2,50.0,50.0
Malaysia,2021,74.4,85.1,53.2,70.5,83.8,84.3,79.4,86.7,73.9,83.6,82.4,60.0,50.0
Maldives,2021,55.2,44.1,39.5,28.2,96.5,67.0,35.9,77.9,71.2,77.5,59.8,35.0,30.0
Mali,2021,55.6,34.5,23.6,21.2,69.0,85.3,81.3,46.5,53.5,83.7,64.0,65.0,40.0
Malta,2021,70.2,68.2,55.0,57.3,68.6,60.9,96.3,67.6,61.8,77.1,84.0,85.0,60.0
Mauritania,2021,56.1,26.0,21.0,23.9,74.3,88.4,93.3,59.1,52.8,80.0,63.8,50.0,40.0
Mauritius,2021,77.0,78.4,55.0,73.6,91.6,78.0,73.5,83.7,74.6,77.4,88.0,80.0,70.0
Mexico,2021,65.5,53.4,39.8,35.9,76.1,79.8,88.7,65.6,58.2,72.1,81.6,75.0,60.0
Micronesia,2021,50.4,16.5,25.0,23.3,88.2,0.0,99.3,56.2,74.4,82.1,74.8,35.0,30.0
Moldova,2021,62.5,60.6,38.7,29.9,94.0,71.0,96.5,66.2,39.2,71.5,76.8,55.0,50.0
Mongolia,2021,62.4,48.1,37.4,25.9,89.9,71.5,91.3,61.9,74.4,73.4,74.6,50.0,50.0
Montenegro,2021,63.4,57.8,51.0,56.2,83.6,35.3,37.2,73.5,78.0,83.4,79.4,75.0,50.0
Morocco,2021,63.3,67.5,39.9,51.2,68.3,73.0,68.5,72.3,33.2,80.3,70.6,65.0,70.0
Mozambique,2021,51.6,29.5,23.8,26.9,74.8,71.4,62.3,55.2,42.0,77.1,70.8,35.0,50.0
Namibia,2021,62.6,57.1,47.4,63.6,67.5,57.4,53.7,65.6,85.2,77.2,71.2,65.0,40.0
Nepal,2021,50.7,38.1,33.8,34.1,83.2,73.2,61.8,61.5,53.6,71.6,57.6,10.0,30.0
